date,close,company,dayofweek,month,day,close_lag1,close_lag7,close_ma5,close_ma20
2020-01-20,129.06665108524538,madly,0,1,20,129.10238733983272,138.6465285563521,130.95122250237074,133.58862179107115
2020-01-21,129.52239101854923,madly,1,1,21,129.06665108524538,132.43242409632074,130.70210863023175,133.41580528008782
2020-01-22,130.99824972080194,madly,2,1,22,129.52239101854923,135.44387173346743,130.08721545756686,133.36511906026507
2020-01-23,130.6535906379821,madly,3,1,23,130.99824972080194,130.7679603792441,129.86865396048228,133.20204625889468
2020-01-24,131.67002951829318,madly,4,1,24,130.6535906379821,134.07271558412634,130.38218239617436,133.1942168180945
2020-01-25,127.02255161085094,madly,5,1,25,131.67002951829318,131.74639812340507,129.97336250129547,132.76534749300396
2020-01-26,125.25429153458758,madly,6,1,26,127.02255161085094,129.10238733983272,129.11974260450316,132.24525866707552
2020-01-27,125.36667814574244,madly,0,1,27,125.25429153458758,129.06665108524538,127.99342828949125,131.78501276669482
2020-01-28,127.96935578105384,madly,1,1,28,125.36667814574244,129.52239101854923,127.4565813181056,131.53269841641324
2020-01-29,123.71133931161953,madly,2,1,29,127.96935578105384,130.99824972080194,125.86484327677086,130.9495081575801
2020-01-30,122.70509904920682,madly,3,1,30,123.71133931161953,130.6535906379821,125.00135276444205,130.3208344683256
2020-01-31,126.9548729938746,madly,4,1,31,122.70509904920682,131.67002951829318,125.34146905629946,129.8834527793286
2020-02-01,126.46921154025986,madly,5,2,1,126.9548729938746,127.02255161085094,125.56197573520292,129.47882988804082
2020-02-02,125.17983393096792,madly,6,2,2,126.46921154025986,125.25429153458758,125.00407136518575,128.8054951567716
2020-02-03,127.48744821847392,madly,0,2,3,125.17983393096792,125.36667814574244,125.75929314655662,128.55824636287923
2020-02-04,122.96082147015476,madly,1,2,4,127.48744821847392,127.96935578105384,125.81043763074622,127.9340938497136
2020-02-05,125.31215988671424,madly,2,2,5,122.96082147015476,123.71133931161953,125.48189500931414,127.66130382508712
2020-02-06,126.73394289468794,madly,3,2,6,125.31215988671424,122.70509904920682,125.53484128019974,127.2943651906152
2020-02-07,126.7186234454314,madly,4,2,7,126.73394289468794,126.9548729938746,125.84259918309245,127.04297645671652
2020-02-08,128.1675708121465,madly,5,2,8,126.7186234454314,126.46921154025986,125.97862370182698,126.99623563033222
2020-02-09,126.74997111591593,madly,6,2,9,128.1675708121465,125.17983393096792,126.73645363097921,126.88040163186572
2020-02-10,124.420153361558,madly,0,2,10,126.74997111591593,127.48744821847392,126.55805232594795,126.62528974901616
2020-02-11,127.8068976565934,madly,1,2,11,124.420153361558,122.96082147015476,126.77264327832904,126.46572214580574
