date,close,company,dayofweek,month,day,close_lag1,close_lag7,close_ma5,close_ma20
2020-01-20,127.65882261031874,bubl,0,1,20,126.29799801151697,124.29017003600144,124.03312220037745,119.37197248513417
2020-01-21,124.22104282118148,bubl,1,1,21,127.65882261031874,121.86958622612777,124.70975889490883,119.75978877203269
2020-01-22,122.58292819666924,bubl,2,1,22,124.22104282118148,119.311184951977,124.70335037895454,120.00982893084287
2020-01-23,121.12553532842624,bubl,3,1,23,122.58292819666924,120.83785934852467,124.37726539362254,120.41728477434447
2020-01-24,120.16302140884248,bubl,4,1,24,121.12553532842624,122.61497077644064,123.15027007308763,120.80706463693134
2020-01-25,122.27279094987205,bubl,5,1,25,120.16302140884248,122.75596025508626,122.07306374099831,121.17360749078046
2020-01-26,120.85366848258526,bubl,6,1,26,122.27279094987205,126.29799801151697,121.39958887327904,121.45260535652929
2020-01-27,119.45274318909702,bubl,0,1,27,120.85366848258526,127.65882261031874,120.77355187176461,121.72322488937414
2020-01-28,123.12137475935468,bubl,1,1,28,119.45274318909702,124.22104282118148,121.17271975795029,122.10534300974045
2020-01-29,121.53484017952526,bubl,2,1,29,123.12137475935468,122.58292819666924,121.44708351208685,122.25309459724504
2020-01-30,123.74021480525148,bubl,3,1,30,121.53484017952526,121.12553532842624,121.74056828316274,122.51747152264618
2020-01-31,121.8136649647882,bubl,4,1,31,123.74021480525148,120.16302140884248,121.93256757960334,122.43820990282018
2020-02-01,122.4036919443654,bubl,5,2,1,121.8136649647882,122.27279094987205,122.52275733065702,122.44610346229763
2020-02-02,119.83346880192444,bubl,6,2,2,122.4036919443654,120.85366848258526,121.86517613917097,122.22326840059377
2020-02-03,124.91270929660924,bubl,0,2,3,119.83346880192444,119.45274318909702,122.54074996258775,122.37542455411783
2020-02-04,125.45545116174576,bubl,1,2,4,124.91270929660924,123.12137475935468,122.88379723388661,122.68263786460628
2020-02-05,127.93717581399518,bubl,2,2,5,125.45545116174576,121.53484017952526,124.108499403728,123.0376036878798
2020-02-06,121.74698463076966,bubl,3,2,6,127.93717581399518,123.74021480525148,123.97715794100887,122.99420438059626
2020-02-07,124.6165643788062,bubl,4,2,7,121.74698463076966,121.8136649647882,124.9337770563852,123.08723458678226
2020-02-08,120.7535412388874,bubl,5,2,8,124.6165643788062,122.4036919443654,124.10194344484084,122.81001174815076
2020-02-09,115.2873863458989,bubl,6,2,9,120.7535412388874,119.83346880192444,122.06833048167145,122.19143993492978
2020-02-10,115.98581543424837,bubl,0,2,10,115.2873863458989,124.91270929660924,119.6780584057221,121.77967856558311
2020-02-11,111.42078977092925,bubl,1,2,11,115.98581543424837,125.45545116174576,117.61281943375403,121.22157164429612
2020-02-12,115.94478780721391,bubl,2,2,12,111.42078977092925,127.93717581399518,115.87846411943556,120.9625342682355
2020-02-13,116.92593675652432,bubl,3,2,13,115.94478780721391,121.74698463076966,115.11294322296294,120.80068003561959
2020-02-14,116.29083070474287,bubl,4,2,14,116.92593675652432,124.6165643788062,115.31363209473174,120.50158202336313
2020-02-15,116.47821556612604,bubl,5,2,15,116.29083070474287,120.7535412388874,115.41211212110727,120.28280937754016
2020-02-16,115.20149717914842,bubl,6,2,16,116.47821556612604,115.2873863458989,116.16825360275111,120.07024707704275
2020-02-17,121.28892092712891,bubl,0,2,17,115.20149717914842,115.98581543424837,117.23708022673411,119.97862438543146
2020-02-18,115.98714485607933,bubl,1,2,18,121.28892092712891,111.42078977092925,117.04932184664513,119.70123961925917
2020-02-19,114.70397991874312,bubl,2,2,19,115.98714485607933,115.94478780721391,116.73195168944517,119.24942787493376
2020-02-20,112.25545387688928,bubl,3,2,20,114.70397991874312,116.92593675652432,115.88739935159781,118.7715173205388
2020-02-21,111.4467003974429,bubl,4,2,21,112.25545387688928,116.29083070474287,115.13643999525671,118.22366774319266
